ZCTA5CE20,buildingCostSum,contentCostSum,lowestFloorElevation,lowestAdjacentGrade,elevationDifference,elevatedBuildingIndicator,numFloors,avgConstructionYear,mainOccupancyType,claimCount,totalCost
32003,87022927.0,0.0,432.4299145299145,3.83394495412844,1.376,22,1.457142857142857,1983.8163265306123,1.0,245,87022927.0
32008,312421558.0,0.0,32.920833333333334,20.200000000000003,0.25,51,1.7217391304347827,1977.2434782608696,1.0,115,312421558.0
32009,459112.0,0.0,2.6999999999999997,11.0,2.6666666666666665,3,3.25,1983.25,1.0,4,459112.0
32011,30856485.0,193228.0,463.55227272727274,-2617.7710526315786,3.173076923076923,43,2.2711864406779663,1986.1016949152543,1.0,118,31049713.0
32024,5823825.0,31514.0,64.73333333333333,63.23333333333333,2.3333333333333335,4,1.7575757575757576,1991.3636363636363,1.0,33,5855339.0
32025,3846532.0,0.0,55.379999999999995,91.875,1.2,2,1.0384615384615385,1979.3076923076924,1.0,26,3846532.0
32033,3061226.0,0.0,5.15,3.0625,0.25,5,1.4666666666666666,1992.3333333333333,1.0,15,3061226.0
32034,23277638.0,0.0,248.11904761904762,6.084210526315789,0.27906976744186046,32,1.8157894736842106,1985.092105263158,1.0,76,23277638.0
32038,3531131.0,0.0,35.82,16.966666666666665,2.8,22,1.65,1978.875,1.0,40,3531131.0
32040,284556.0,0.0,87.4,85.4,0.5,3,1.0,1986.5,1.0,4,284556.0
32043,5733280.0,0.0,5.325,2.8333333333333335,1.75,4,1.6818181818181819,1975.8636363636363,1.0,22,5733280.0
32046,429870.0,0.0,,,,0,1.0,1980.0,1.0,3,429870.0
32052,2751461.0,0.0,77.25384615384615,66.87692307692308,4.214285714285714,20,2.074074074074074,1982.037037037037,1.0,27,2751461.0
32053,759236.0,0.0,72.5,64.5,8.0,4,2.4,1964.2,1.0,5,759236.0
32054,1291406.0,0.0,52.0,102.4,1.0,0,1.0,1971.0,1.0,14,1291406.0
32055,8663836.0,0.0,86.975,76.12666666666668,7.333333333333333,19,2.0625,1985.59375,1.0,64,8663836.0
32058,683439.0,110000.0,96.93333333333334,139.2,3.0,5,2.3333333333333335,1981.8333333333333,1.0,6,793439.0
32059,2874195.0,0.0,66.56363636363636,57.96666666666667,-1.0909090909090908,14,1.64,1981.44,1.0,25,2874195.0
32060,4686350.0,0.0,68.83333333333333,58.84444444444445,2.2,15,1.5405405405405406,1982.918918918919,1.0,37,4686350.0
32063,5058353.0,0.0,89.88,85.35,1.95,19,2.0952380952380953,1984.9761904761904,1.0,42,5058353.0
32064,12230021.0,0.0,30.176470588235293,36.646153846153844,7.055555555555555,16,1.3703703703703705,1964.148148148148,1.0,81,12230021.0
32066,6497036.0,0.0,38.193333333333335,28.6625,1.9473684210526316,34,1.6031746031746033,1980.857142857143,1.0,63,6497036.0
32068,163261299.0,1127211.0,111.30064935064935,8.653380782918148,-0.044642857142857144,304,1.6364942528735633,1983.5344827586207,1.0,696,164388510.0
32071,5551040.0,0.0,40.31666666666667,8.35,2.5714285714285716,17,2.142857142857143,1978.2142857142858,1.0,42,5551040.0
32080,4001586859.0,3334733.0,49.052330925804334,7.305464480874318,0.7217997465145755,1039,1.568362480127186,1958.0278219395866,1.0,2516,4004921592.0
32081,2178082921.0,100000.0,6.246153846153846,38.64655172413793,0.9558823529411765,16,1.6216216216216217,1982.8513513513512,1.0,74,2178182921.0
32082,361732096.0,1581806.0,62.319618528610356,-291.11656804733724,1.4482758620689655,75,1.5975359342915811,1984.993839835729,1.0,487,363313902.0
32084,7226052.0,1016883.0,,,,0,1.4,1993.0,1.0,5,8242935.0
32086,307007064.0,585972.0,32.834385569334835,-354.5,0.8529088913282108,267,1.7274436090225564,1984.876879699248,11.0,1064,307593036.0
32091,17020979.0,133393.0,346.91521739130434,127.82272727272726,2.02,33,1.823008849557522,1983.867256637168,1.0,113,17154372.0
32092,56531814.0,233187.0,84.09290780141845,11.10530303030303,1.4452054794520548,80,1.8418367346938775,1985.3265306122448,1.0,196,56765001.0
32094,1963757.0,20000.0,66.21666666666665,38.42,2.0,15,1.4210526315789473,1983.3684210526317,1.0,19,1983757.0
32095,7239996.0,35000.0,364.725,121.49642857142858,1.8928571428571428,11,2.272727272727273,1993.2424242424242,1.0,33,7274996.0
32097,9685792.0,0.0,351.8379310344827,375.0925925925926,1.0,13,1.5405405405405406,1986.1891891891892,1.0,37,9685792.0
32102,87932.0,0.0,,,,0,1.0,1975.0,1.0,2,87932.0
32110,4950629.0,208796.0,5.766666666666667,6.55,-0.5,2,1.7826086956521738,1988.304347826087,1.0,23,5159425.0
32112,1507541.0,0.0,7.685714285714285,3.775,1.1428571428571428,1,1.1111111111111112,1982.888888888889,1.0,9,1507541.0
32113,540762.0,0.0,47.51666666666667,44.416666666666664,4.666666666666667,4,2.7,1984.2,1.0,10,540762.0
32118,1880287669.0,15528178.0,6.5412526997840175,5.497142857142856,0.8474945533769063,127,1.377475947934352,1968.7985285795132,11.0,1767,1895815847.0
32124,45501810.0,1279213.0,25.57857142857143,23.496153846153845,2.642857142857143,3,1.4403669724770642,1981.0183486238532,1.0,109,46781023.0
32127,386781224.0,5484023.0,114.81548223350255,40.196892655367236,1.0471698113207548,88,1.3721340388007055,1975.152557319224,11.0,1134,392265247.0
32128,18471183.0,309765.0,28.089999999999996,26.347368421052632,2.2,11,1.515625,1981.078125,11.0,64,18780948.0
