ZCTA5CE20,Dam,Outlet,Station,Streamgage
32008,0,1,16,25
32009,0,0,0,1
32011,0,0,1,2
32024,0,0,0,2
32025,2,0,9,18
32033,0,0,0,2
32034,0,0,1,2
32038,0,0,16,20
32040,0,0,0,1
32043,3,0,3,4
32044,0,0,2,2
32046,1,0,2,2
32052,3,3,29,57
32053,0,0,3,4
32054,0,0,9,29
32055,0,0,7,10
32058,0,0,0,2
32059,0,0,2,4
32060,1,0,12,20
32061,0,0,2,3
32062,0,0,0,2
32063,0,0,2,2
32066,0,0,17,23
32068,0,0,1,6
32071,0,0,21,25
32072,0,0,1,3
32073,0,0,0,1
32082,0,0,0,1
32083,0,0,2,4
32084,0,0,0,1
32086,0,0,2,5
32087,0,0,2,4
32091,0,0,7,25
32092,0,0,2,4
32094,0,0,1,4
32096,0,0,29,36
32097,0,0,1,2
32102,0,0,1,1
32110,0,0,3,4
32112,0,0,1,2
32114,0,0,1,1
32117,0,0,0,1
32119,0,0,0,1
32124,0,0,8,8
32127,0,0,2,3
32130,0,0,3,4
32131,0,0,0,1
32134,1,1,13,13
32137,0,0,0,1
32139,0,0,0,1
32140,0,0,1,2
32145,0,0,2,2
32148,0,0,5,6
32159,0,0,1,1
32163,0,0,3,3
32168,0,1,2,4
32169,0,0,0,1
32174,0,0,1,2
32177,2,1,8,10
32179,1,0,3,3
32180,0,0,3,3
32182,0,0,1,1
32189,2,0,2,2
32190,0,0,1,1
32193,0,0,1,1
32195,0,0,1,1
32202,0,0,1,1
32204,0,0,0,1
32205,0,0,2,3
32210,0,0,1,2
32211,0,0,0,2
32212,1,0,0,0
32216,0,0,1,1
32218,0,0,1,1
32219,0,0,3,4
32221,0,0,1,8
32223,0,0,0,2
32224,0,0,1,2
32226,0,2,0,2
32234,0,0,1,1
32244,0,0,3,4
32254,0,0,1,3
32256,0,0,3,3
32257,0,0,0,1
32259,0,0,1,1
32301,0,0,2,5
32303,0,0,3,3
32304,0,0,2,5
32305,0,0,26,33
32308,0,0,4,9
32309,8,0,0,4
32310,0,0,7,18
32311,1,0,0,0
32312,5,0,10,15
32313,0,0,0,1
32317,0,0,0,1
32320,0,0,5,7
32321,0,0,44,49
32322,0,2,0,1
32324,1,0,15,18
32327,0,0,13,17
32331,0,0,5,6
32332,0,0,1,1
32333,6,0,9,11
32334,0,0,5,8
32336,0,1,4,6
32340,0,0,6,9
32343,1,0,2,4
32344,3,0,16,27
32346,0,1,13,13
32347,0,0,0,13
32348,1,0,8,42
32350,0,0,1,2
32351,7,0,31,39
32352,2,0,9,13
32356,0,0,0,20
32358,0,0,18,22
32359,0,1,0,2
32404,0,0,12,14
32405,0,0,1,1
32409,1,1,11,12
32413,0,0,2,2
32420,2,0,7,7
32421,1,0,3,4
32423,1,0,2,2
32424,0,0,49,55
32425,7,0,0,4
32426,0,0,0,1
32428,1,0,14,18
32430,1,0,2,2
32431,0,0,25,25
32433,9,0,4,9
32435,3,0,2,3
32437,0,0,0,1
32438,0,0,2,2
32439,1,1,8,9
32442,0,0,11,12
32444,0,0,1,1
32446,2,0,7,10
32448,1,0,6,9
32449,0,0,0,2
32455,0,0,0,2
32456,0,0,2,2
32460,1,1,17,18
32462,0,0,0,1
32464,3,0,2,5
32465,0,1,66,75
32466,0,0,11,11
32502,0,0,5,5
32503,0,0,1,2
32505,1,0,0,0
