ZCTA5CE20,NAME,USA_WIND,USA_SSHS,USA_PRES
32320,MINDY,50,0,1000.0
32322,FAY,45,0,997.0
32322,FAY,45,0,997.0
32328,BONNIE,38,0,1003.0
32359,NICOLE,38,0,990.0
32401,EARL,70,1,987.0
32403,MICHAEL,140,5,919.0
32456,UNNAMED,15,-1,1012.0
32459,BARRY,60,0,990.0
32461,ALBERTO,40,0,992.0
32526,DANNY,40,0,1000.0
32541,ALBERTO,55,0,993.0
32541,CLAUDETTE,40,0,1005.0
32548,UNNAMED,25,-1,1006.0
32580,UNNAMED,15,-1,1011.0
32625,NICOLE,40,0,989.0
32648,JERRY,28,-1,1003.0
33034,ERNESTO,40,0,1003.0
33034,SALLY,35,0,1003.0
33034,IRENE,70,1,987.0
33614,UNNAMED,20,-1,0.0
33614,BARRY,30,-1,1000.0
33908,GORDON,45,0,996.0
33924,CHARLEY,130,4,941.0
33952,CHARLEY,121,4,944.0
34103,ANA,20,-3,1012.0
34114,HARVEY,50,0,999.0
34114,FAY,55,0,991.0
34114,FAY,55,0,991.0
34145,IRMA,100,3,936.0
34145,HARVEY,50,0,999.0
34145,WILMA,105,3,950.0
34217,EMILY,50,0,1001.0
34217,EMILY,49,0,1001.0
34217,BARRY,30,-1,1000.0
34667,ERIN,55,0,989.0
34695,ANA,20,-3,1012.0
